,hours,"
TIN
(ºC)","
NO
(µg/m3)","
NO2
(µg/m3)","
PM2.5
(µg/m3)","
PM10
(µg/m3)","
NOX
(µg/m3)","
O3
(µg/m3)"
0,23:00,20.6,1,21,11,14,24,21
1,24:00,20.5,1,16,11,13,18,25
2,01:00,20.3,1,15,10,8,18,25
3,02:00,20.3,1,14,15,12,16,24
4,03:00,20.4,1,17,14,18,19,17
5,04:00,20.4,1,19,15,16,21,13
6,05:00,20.3,1,13,16,13,15,16
7,06:00,20.3,2,15,16,18,17,17
8,07:00,20.3,2,21,15,18,24,14
9,08:00,20.5,19,34,8,13,63,16
10,09:00,20.6,3,24,8,11,29,21
11,10:00,20.9,10,41,6,9,55,11
12,11:00,21.2,8,34,7,6,46,17
13,12:00,21.3,7,29,3,5,40,18
14,13:00,21.4,6,27,4,7,37,22
15,14:00,21.9,5,20,5,6,28,32
16,15:00,21.9,4,17,4,2,23,35
17,16:00,22.0,5,25,6,5,33,28
18,17:00,21.6,4,24,7,6,30,26
19,18:00,21.2,6,30,8,4,39,19
20,19:00,21.1,9,45,5,11,59,10
21,20:00,21.1,7,37,10,8,47,18
22,21:00,20.4,16,54,8,5,79,14
23,22:00,20.1,3,24,7,10,29,22
