,hours,"
VV
(m/s)","
DV
(Grd)","
TMP
(ºC)","
HR
(%)","
PRE
(mbar)","
RS
(W/m2)","
LL
(l/m2)"
0,23:00,0.2,141,9.4,94,948,0,0.00
1,24:00,0.5,158,9.4,94,948,0,0.00
2,01:00,0.5,160,9.4,93,947,0,0.10
3,02:00,0.5,162,9.3,93,947,0,0.00
4,03:00,0.2,161,9.2,94,946,0,0.10
5,04:00,0.3,167,9.2,94,946,0,0.00
6,05:00,0.2,166,9.2,94,945,0,0.10
7,06:00,0.4,169,9.4,95,945,0,0.40
8,07:00,0.3,170,9.4,95,945,0,0.20
9,08:00,0.3,175,9.5,95,945,0,0.00
10,09:00,0.6,169,9.5,95,945,5,0.00
11,10:00,0.6,168,9.8,95,945,22,0.00
12,11:00,0.3,169,10.1,95,945,45,0.20
13,12:00,0.2,146,10.3,95,944,65,0.20
14,13:00,0.3,149,10.5,95,943,83,0.20
15,14:00,0.5,168,11.1,94,942,105,0.00
16,15:00,0.5,169,12.0,92,942,65,0.00
17,16:00,0.3,173,12.1,91,941,33,0.40
18,17:00,0.4,175,11.5,91,941,5,0.00
19,18:00,0.3,173,11.2,91,941,0,0.20
20,19:00,0.3,174,10.9,91,941,0,0.00
21,20:00,0.4,175,10.7,90,941,0,0.00
22,21:00,0.6,163,9.9,90,941,0,0.00
23,22:00,0.4,174,9.2,91,941,0,0.00
