,hours,"
TIN
(ºC)","
NO
(µg/m3)","
NO2
(µg/m3)","
PM2.5
(µg/m3)","
PM10
(µg/m3)","
NOX
(µg/m3)","
O3
(µg/m3)"
0,18:00,21.0,2,21,3,7,24,35
1,19:00,20.5,4,46,9,4,52,11
2,20:00,20.4,2,36,9,9,40,24
3,21:00,20.5,5,42,11,9,50,22
4,22:00,20.4,4,54,11,10,61,7
5,23:00,20.5,10,57,15,17,72,2
6,24:00,20.4,7,49,15,17,60,3
7,01:00,20.4,4,42,16,19,48,9
8,02:00,20.1,3,39,20,26,43,8
9,03:00,20.2,2,26,17,22,28,17
10,04:00,20.0,1,7,9,15,9,36
11,05:00,19.9,1,5,9,7,7,40
12,06:00,20.2,1,8,7,6,10,36
13,07:00,20.1,1,9,5,5,11,37
14,08:00,20.3,1,8,3,4,10,38
15,09:00,20.4,2,13,4,3,16,33
16,10:00,20.5,3,15,2,4,20,33
17,11:00,20.6,3,12,4,3,17,35
18,12:00,20.5,3,18,2,1,23,40
19,13:00,21.0,3,15,5,4,20,47
20,14:00,20.6,3,16,5,1,20,52
21,15:00,20.4,2,17,3,3,20,48
22,16:00,20.4,3,15,5,7,20,43
23,17:00,20.3,1,14,7,5,16,45
